11306;8810;KKRI;OK;Pocola;K-LOVE, Inc.;18500;35.22508;-94.30133
11449;8810;KKWV;TX;Aransas Pass;AMERICAN FAMILY ASSOCIATION;8500;27.86753;-97.21889
11561;8810;KLBD;TX;Premont;The Worship Center of Kingsville;100;27.28919;-98.12333
11575;8810;KLBR;OR;Bend;Lane Community College;5000;44.04678;-121.53169
11577;8810;KLBT;TX;Beaumont;The King's Musician Educational Foundation, Inc.;30000;29.91467;-94.28519
11596;8810;KLCM;KS;Ulysses;Libertad En Cristo Ministries, Inc;;;
11664;8810;KLFC;MO;Branson;Mountaintop Broadcasting, Inc.;1800;36.55172;-93.23822
11676;8810;KLFO;OR;Florence;Lane Community College;250;43.95706;-124.07511
11718;8810;KLHE;HI;Hilo;K-LOVE, Inc.;;;
11726;8810;KLHM;CA;Lucerne Valley;Educational Radio Foundation of East Texas, Inc.;;;
12046;8810;KLTU;AZ;Mammoth;K-LOVE, Inc.;;;
12074;8810;KLUW;WA;East Wenatchee;K-LOVE, Inc.;600;47.38094;-120.28894
12110;8810;KLWG;CA;Lompoc;Calvary Chapel of Lompoc;2500;34.90997;-120.18708
12115;8810;KLWL;MO;Chillicothe;CSN International, Inc.;800;39.81503;-93.58856
12614;8810;KMPQ;OR;Roseburg;Lane Community College;950;43.20594;-123.36508
12623;8810;KMPZ;CO;Salida;Cheyenne Mountain Public Broadcast House, Inc.;200;38.44664;-106.01056
12684;8810;KMSI;OK;Moore;David Ingles Ministries Church Inc.;50000;35.201944;-97.588333
12732;8810;KMUE;CA;Eureka;Redwood Community Radio, Inc.;10000;40.72736;-123.97256
13155;8810;KNKL;UT;Tremonton;K-LOVE, Inc.;8600;41.89525;-112.07942
13174;8810;KNLE;TX;Round Rock;Ixoye Productions, Inc.;3000;30.449444;-97.662222
13196;8810;KNMA;NM;Tularosa;CSN International, Inc.;;32.82981;-105.88664
13223;8810;KNNB;AZ;Whiteriver;Apache Radio Broadcasting Corp.;;;
13368;8810;KNSQ;CA;Mount Shasta;Southern Oregon University;1200;41.22181;-122.30861
13398;8810;KNTU;TX;Mckinney;University of North Texas;55000;33.290000;-97.136111
13511;8810;K201IJ;OK;Miami, Etc.;David Ingles Ministries Inc.;205;36.88283;-94.79633
13700;8810;KOFK;MT;Bozeman;Guild of St. Peter Educational Association;2;45.63881;-111.26633
13725;8810;KOGJ;AK;Kenai;CSN International, Inc.;;;
13768;8810;KOIA;IA;Storm Lake;St. Gabriel Communications, Ltd.;6000;42.66831;-94.99333
13771;8810;KOIA;IA;Storm Lake;St. Gabriel Communications, Ltd.;6000;42.66831;-94.99333
14184;8810;KOYA;SD;Rosebud;Rosebud Sioux Tribe;51000;43.21694;-100.79153
14252;8810;KPAQ;LA;Plaquemine;AMERICAN FAMILY ASSOCIATION;90000;30.261389;-91.311111
14391;8810;KPFZ;CA;Lakeport;Lake County Community Radio;;38.98961;-122.76914
14409;8810;KPGR;UT;Pleasant Grove;Alpine School District;1250;40.36328;-111.72575
14410;8810;KPGS;CO;Pagosa Springs;KUTE, Inc.;;37.19667;-107.11753
14482;8810;KPJM;AZ;Payson;KPJM-LP Inc.;;;
14533;8810;KUCC;WA;Clarkston;Upper Columbia Media Association;460;46.46292;-116.90792
14641;8810;KPPP;ND;Fargo;;22;46.874444;-96.784167
14694;8810;KPRQ;WY;Sheridan;Montana State University-Billings;450;44.62383;-107.11783
14969;8810;KQCF;OR;Chiloquin;Common Frequency, Inc.;;;
15111;8810;KQHR;OR;The Dalles;All Classical Public Media, Inc.;4000;45.72178;-121.43839
15227;8810;KQMD;TX;Quemado;Multimedeos Radio Ola;1000;28.88636;-100.57258
15252;8810;KQNC;CA;Quincy;California State University, Sacramento;500;39.93711;-120.94856
15278;8810;KQOC;OR;Gleneden Beach;All Classical Public Media, Inc.;6500;44.75622;-124.049
15420;8810;KQTO;NM;Hurley;RADIO BILINGUE INC;2000;32.862;-108.24169
